GSM	sample_title	accession_number	accession_name	growth_temperature	tissue	developmental_stage	target_gene	raw_counts	RPKM	processed_file
GSM1321799	s6069_16C	6069	Nyl-7	16C	whole rosette	9-leaf stage	AT1G11560	0.0	0.0	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321799/suppl/GSM1321799_s6069_16C_expression_table.txt.gz
GSM1321800	s6070_10C	6070	Omn-1	10C	whole rosette	9-leaf stage	AT1G11560	0.0	0.0	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321800/suppl/GSM1321800_s6070_10C_expression_table.txt.gz
GSM1321801	s6070_16C	6070	Omn-1	16C	whole rosette	9-leaf stage	AT1G11560	0.0	0.0	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321801/suppl/GSM1321801_s6070_16C_expression_table.txt.gz
GSM1321802	s6071_10C	6071	Omn-5	10C	whole rosette	9-leaf stage	AT1G11560	0.0	0.0	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321802/suppl/GSM1321802_s6071_10C_expression_table.txt.gz
GSM1321803	s6071_16C	6071	Omn-5	16C	whole rosette	9-leaf stage	AT1G11560	1.0	0.000527449182827	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321803/suppl/GSM1321803_s6071_16C_expression_table.txt.gz
GSM1321804	s6073_16C	6073	ÖMö1-7	16C	whole rosette	9-leaf stage	AT1G11560	0.0	0.0	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321804/suppl/GSM1321804_s6073_16C_expression_table.txt.gz
GSM1321805	s6073_10C	6073	ÖMö1-7	10C	whole rosette	9-leaf stage	AT1G11560	0.0	0.0	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321805/suppl/GSM1321805_s6073_10C_expression_table.txt.gz
GSM1321806	s6074_10C	6074	Ör-1	10C	whole rosette	9-leaf stage	AT1G11560	0.5	0.00036021373351	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321806/suppl/GSM1321806_s6074_10C_expression_table.txt.gz
GSM1321807	s6074_16C	6074	Ör-1	16C	whole rosette	9-leaf stage	AT1G11560	0.0	0.0	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321807/suppl/GSM1321807_s6074_16C_expression_table.txt.gz
GSM1321808	s6076_10C	6076	Rev-2	10C	whole rosette	9-leaf stage	AT1G11560	2.0	0.000604608915869	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321808/suppl/GSM1321808_s6076_10C_expression_table.txt.gz
GSM1321809	s6076_16C	6076	Rev-2	16C	whole rosette	9-leaf stage	AT1G11560	0.0	0.0	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321809/suppl/GSM1321809_s6076_16C_expression_table.txt.gz
GSM1321810	s6085_10C	6085	Sparta-1	10C	whole rosette	9-leaf stage	AT1G11560	0.0	0.0	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321810/suppl/GSM1321810_s6085_10C_expression_table.txt.gz
GSM1321811	s6085_16C	6085	Sparta-1	16C	whole rosette	9-leaf stage	AT1G11560	0.0	0.0	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321811/suppl/GSM1321811_s6085_16C_expression_table.txt.gz
GSM1321812	s6088_10C	6088	Stu1-1	10C	whole rosette	9-leaf stage	AT1G11560	0.666666666667	0.000356873875058	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321812/suppl/GSM1321812_s6088_10C_expression_table.txt.gz
GSM1321813	s6088_16C	6088	Stu1-1	16C	whole rosette	9-leaf stage	AT1G11560	1.0	0.000522514292019	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321813/suppl/GSM1321813_s6088_16C_expression_table.txt.gz
GSM1321814	s6090_10C	6090	T1000	10C	whole rosette	9-leaf stage	AT1G11560	0.0	0.0	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321814/suppl/GSM1321814_s6090_10C_expression_table.txt.gz
GSM1321815	s6090_16C	6090	T1000	16C	whole rosette	9-leaf stage	AT1G11560	1.0	0.000286506521268	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321815/suppl/GSM1321815_s6090_16C_expression_table.txt.gz
GSM1321816	s6092_10C	6092	T1020	10C	whole rosette	9-leaf stage	AT1G11560	0.0	0.0	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321816/suppl/GSM1321816_s6092_10C_expression_table.txt.gz
