environment	method	beta	se	pval	nsnp	q	q_pval	tau2	intercept	intercept_se	intercept_pval
10C	ivw_fixed	6.600138214014155	0.20382432051141885	4.999382844686337e-230	48	84.89547983512671	0.0005892759350130559				
10C	ivw_random	7.084223904717743	0.2970413853182396	1.0301489791348692e-125	48	84.89547983512671	0.0005892759350130559	1.6310852070124902			
10C	mr_egger	4.2258748005725195	0.5187593403233974	3.7579343344292634e-16	48				2.928131072975006	0.5314071175085756	3.585351502991037e-08
16C	ivw_fixed	8.237873296562102	0.2932957361299372	1.4018485328401513e-173	48	97.69926041641187	2.0452909741383486e-05				
16C	ivw_random	8.866669207769716	0.45612328483626213	3.5977061027023646e-84	48	97.69926041641187	2.0452909741383486e-05	4.513634674328443			
16C	mr_egger	6.755197066656308	0.7683098681272119	1.465522899078266e-18	48				2.016034174730734	0.7857797355235735	0.0102983289294631
