accession_id	PC1	PC2	PC3	PC4	PC5
88	0.0598135658622	-4.01521290706	0.107154239303	-0.227837995281	0.95470472036
108	0.181237936635	-2.98386193217	-1.30119691076	-0.533689182786	0.796145488652
139	0.100100107452	-2.87889176643	-1.30304512543	-0.423967971781	0.81783411185
159	-0.977941357566	-2.63421801197	0.615944998975	-0.0932139658478	-0.133133086045
265	-1.06230143664	0.476968518423	-3.28375218569	0.0507862448552	0.389692692438
350	-0.612448088471	-3.39291550048	0.472702500449	0.273118175472	0.351338416637
351	-0.453740434268	-3.24255327758	0.912275706473	-0.149851919099	-0.269949628779
403	-2.32042353588	-0.402420047219	3.56030280376	2.55129252558	-3.16665223006
410	-1.77025465474	-1.7144455093	2.59610379119	2.51364012632	-3.6054576808
424	-2.05866986164	-0.597158191652	3.47155869556	2.08933462368	-3.85316487202
428	-1.94066253219	-0.143291703835	3.607876218	1.75945190627	-2.91244593121
430	-1.89770607331	-0.727077219917	3.38030404931	1.93828839718	-2.86662419906
470	15.3208292919	1.40711379611	0.288088310712	-0.209661327554	-0.440222617517
476	15.3758436645	1.47249123054	0.271463293692	-0.166025443968	-0.462000118185
484	15.3666155663	1.48476991808	0.296327459368	-0.217230821133	-0.427427167413
504	15.3138684841	1.44885030351	0.266390650579	-0.173623145857	-0.486035072856
506	15.4388835303	1.48269238939	0.264480600212	-0.216221134643	-0.477504643287
531	14.7192701612	1.30066366874	0.213630764557	-0.118688349365	-0.415799972033
544	15.4947441733	1.51349703882	0.219433075312	-0.176146554342	-0.497955860924
546	15.4614963459	1.47492680857	0.255218607048	-0.144914000458	-0.474071892851
628	0.557570164734	-2.63400975898	-0.965798002281	0.835561938138	2.63388366657
630	0.0364576452504	-2.03141370367	-0.983992208387	-0.0863314952096	2.30670037384
680	15.4988249049	1.50211141511	0.224069830802	-0.105386199034	-0.417929109141
681	15.4377901752	1.4773369786	0.262286747239	-0.238753954495	-0.455259732289
685	15.4648364739	1.499642056	0.212168467122	-0.16471151187	-0.454070566144
687	15.2935588424	1.48419516433	0.324497241638	-0.237673812507	-0.454985343847
728	15.3655415453	1.49479489666	0.32424817136	-0.251262878712	-0.452939216955
742	15.2616890822	1.4713493596	0.232105189161	-0.181004775925	-0.455002779054
763	-2.48468802924	6.63413685664	4.60465194921	-3.51573785553	1.68278993625
765	-2.09320234056	6.88802345576	4.5705546257	-3.86257339558	2.7083095307
766	-2.88822080996	7.76334742778	5.48241061768	-3.5465579563	3.4196060051
768	-2.91401299356	7.70480704128	5.03772220674	-3.7711213444	2.85786794152
772	-3.3222754598	7.95236088109	5.17277029703	-3.83121980935	3.48346646734
801	0.181445993455	-1.44832403414	0.44780629977	-0.227745853135	1.00553355443
853	15.5025421174	1.52449497149	0.223880122935	-0.156621577845	-0.439156507545
854	15.4944833864	1.50481721802	0.173750050902	-0.128346659631	-0.442599697539
867	15.5129662989	1.47346869944	0.256591852518	-0.185403831272	-0.474181572668
868	15.4267607478	1.40598576913	0.265632923664	-0.249969225388	-0.476631742276
870	9.63602851244	-1.00526131695	-0.101597079931	-0.35497129656	1.68842614442
915	-1.44276252114	-2.31505462673	1.96547793989	0.585895914524	-0.797111619028
932	3.79620733707	-2.27783656866	-0.507324191895	-0.00226640405726	2.6313016291
991	-1.1991233418	-0.158640385649	-0.98329189984	2.86631558051	2.60131604025
992	-0.633485608821	-0.286682993888	-0.152152063516	2.88343794982	1.7912689961
997	-1.42545313962	0.00232110598238	-0.581089481019	2.49377737308	2.14210161345
1002	-0.161104109384	-0.0886327319093	-0.21721393654	2.72736386685	1.42614251831
1006	-0.967944452185	-0.855366659809	-1.19907784939	2.71630323681	1.89510002184
1061	-0.869928817706	-0.319377442044	-0.468892399792	2.1157946528	-0.132698792426
1062	-1.42882097521	-1.15699725138	-1.78473799709	4.35814147547	5.99331721186
1063	-2.06480710252	0.204079688737	1.12564698888	2.83742913657	0.210039035094
1066	-1.47222495479	-0.144515670546	0.274790014874	2.65303051704	0.182768642398
1070	-1.56075375527	-0.325002889347	1.09084919049	2.86274986835	-0.335076527784
1158	-1.90928266562	0.334149053893	-0.343330021123	1.67323995185	0.247929484292
1166	-1.40027842064	0.155466352064	-0.728606261275	1.67391870937	-0.366057261876
1254	-1.93488656604	3.82287914774	-4.26094505274	2.46103069879	-1.12604469085
1257	-2.10615616426	2.63841231651	-3.38178855122	2.20176711283	-1.58785053397
1313	-0.893748235122	2.58727872052	-3.75136167924	1.51436188439	-0.673636741421
1317	-1.40157240272	2.89045061422	-3.44996733918	2.00718872456	0.123583193429
1552	-3.0102813064	7.43198016201	-6.32179266685	2.31836695146	-1.65022036739
1612	15.4025281658	1.40780977859	0.179121462984	-0.237709075811	-0.429791518796
1622	15.4664751401	1.49988585715	0.21066153521	-0.184986427127	-0.539117410863
1651	15.4382030409	1.46276101695	0.244631190674	-0.21788012104	-0.518961193173
1652	15.4803689907	1.53103930204	0.228800607136	-0.154045413766	-0.466453909178
1676	15.4699529346	1.51757095903	0.236794206427	-0.2390255526	-0.448710601071
1684	15.4360269626	1.46369260803	0.216303914879	-0.181159444689	-0.482176377571
1739	15.3897873046	1.50423149297	0.251021249878	-0.172266590807	-0.47211499287
1741	15.3659393187	1.51523172945	0.297603148396	-0.18826725899	-0.44119574527
1756	15.4241738431	1.5109861431	0.242051721784	-0.210063003187	-0.497184515315
1757	15.5096500139	1.50733128711	0.19993322529	-0.211484722043	-0.482218831982
1793	15.528332701	1.52419527112	0.17721533688	-0.200186454406	-0.490138160662
1797	15.3679908673	1.44262977135	0.3098533072	-0.232630336232	-0.527597393494
1819	15.3367053735	1.41851213531	0.239836174065	-0.257163464158	-0.499475835525
1820	15.3992824852	1.48686904984	0.269748291951	-0.181015447809	-0.430932624838
1829	7.91312689721	-0.760559643563	0.500413760625	-0.36163118153	0.822054197084
1834	15.3703949436	1.44880067323	0.231977471725	-0.241186956343	-0.450849577144
1835	14.6654344635	1.17091033333	0.114135716411	-0.313897285191	0.0417572771722
1851	14.680823922	1.16826846781	0.0986305276826	-0.259466604466	0.052424080461
1852	12.2899184362	1.10102378323	0.640407182831	-0.0129434498384	-0.504200004706
1853	10.8572743744	0.0377207853896	0.23125154455	-0.0372599542811	-0.0268472426163
1872	10.6758625555	0.245701764132	0.319984250797	-0.226059163746	-0.408937436611
1890	-2.42654387322	7.13747275304	4.82157526878	-2.55138373674	2.11868953851
1925	5.58040733108	1.64718739794	1.37796735869	0.0101748263542	-1.75185643116
1942	15.2072914414	1.40377150778	0.323310485604	-0.208673166776	-0.436238929518
1943	15.3268788335	1.45807635159	0.310587060287	-0.157293125026	-0.460747415929
1954	5.4435222612	0.459997750569	0.448966341894	0.014834537726	-1.55175022015
2016	-1.45263261652	-0.012181098187	0.682007470288	-0.0548016141333	-0.381422006706
2017	15.4709011292	1.5061648466	0.28651483383	-0.184029791291	-0.512537640623
2031	15.4484538397	1.49820519985	0.232654206891	-0.256945418776	-0.491103856254
2053	15.4900234955	1.50426390356	0.179456673618	-0.097695762904	-0.465580313432
2057	10.6902676182	0.0843441701013	0.263496386879	-0.409697808973	0.813371071544
2081	15.3809928087	1.51229036876	0.261801613295	-0.165753679307	-0.459201433064
2091	15.2487400536	1.44453792878	0.254305990441	-0.169791809281	-0.502656945656
2106	15.4189937602	1.51911689749	0.27005983383	-0.153350027567	-0.48013490089
2108	15.4137817777	1.45399237137	0.22991600039	-0.16971005083	-0.422074423366
2141	15.3490417264	1.49948217091	0.279226173731	-0.198995824207	-0.487411792328
2159	15.3939113557	1.46497568059	0.303985212727	-0.176602317007	-0.491688717804
2166	15.4082913923	1.50544954014	0.242536270566	-0.192673584736	-0.459279500089
2171	1.27823150399	-2.27856589238	0.862595972448	0.497065011053	0.46347020326
2191	15.3970107185	1.56099781557	0.222627633806	-0.231019058369	-0.471877584644
2202	-2.42759125591	1.86453652383	2.4307270726	0.598046942375	-1.35903512143
2212	15.4626283219	1.50841316317	0.206756591957	-0.154125553241	-0.487723706499
2239	15.3501301192	1.41651370852	0.193910238298	-0.218157650847	-0.519474759144
2240	15.4591145964	1.49634216806	0.26773492273	-0.198607062167	-0.485968741025
2276	5.45288985096	-2.53054755523	0.58557002646	-0.729083885645	1.97594527542
2278	7.64098236021	-0.643037224079	0.063732676297	-0.369109408038	0.828059878304
2285	15.4501631923	1.47901669328	0.241269602192	-0.217914059337	-0.462336598377
2286	15.4527160926	1.51571973057	0.22130503359	-0.196859893827	-0.46611667316
2317	-0.132529563867	-2.97199845752	0.630234124492	0.23487019987	1.10554360446
2370	15.3629015352	1.47744458957	0.275892535718	-0.215749632235	-0.472730702761
2412	15.4019456355	1.50217918613	0.226938282397	-0.163281447055	-0.495222748668
4779	0.424787554853	-2.67971245844	-1.12076432769	-0.0568311465526	1.32728755558
4807	-0.149712536392	-1.64094767311	-0.561905874715	-0.14968522428	2.22244502217
4826	-0.46788309914	-3.93856400493	0.0427217079544	-0.203313162653	2.2075923349
4840	-0.0810988902475	-3.41956168293	-0.921212744684	-0.895806437271	3.04992697723
4857	-0.0216877953538	-4.48707920112	-0.405479008895	-0.202854910804	3.67170640931
4884	-0.0369273236814	-3.14568596441	-0.694197809541	-0.860575918389	3.03145640156
4900	-0.649767068721	-4.08239332523	-1.03251148963	-0.770827456393	3.93489639912
4939	0.00143666807699	-3.47220781758	-2.00834911003	-0.467350086112	4.18185085813
