environment	method	beta	se	pval	nsnp	q	q_pval	tau2	intercept	intercept_se	intercept_pval
10C	ivw_fixed	4.794667134772019	0.8012753458061314	2.1799811395364557e-09	1						
10C	ivw_random	4.794667134772019	0.8012753458061314	2.1799811395364557e-09	1	0.0		0.0			
16C	ivw_fixed	5.081634505835095	1.1632106933582584	1.2502967598350784e-05	1						
16C	ivw_random	5.081634505835095	1.1632106933582584	1.2502967598350784e-05	1	0.0		0.0			
