GSM	accession_id	accession_name	RPKM	normalized_count
GSM2136248	9770	KBG2-13	13	13
GSM2136249	9771	Pfn-N2.2-6	1	1
GSM2136250	9772	Hof-1	0	0
GSM2136251	9774	Alt-1	1	1
GSM2136252	9775	Berg-1	3	3
GSM2136253	9776	Fell3-7	0	0
GSM2136254	9777	Gn-1	0	0
GSM2136255	9778	Bach-7	3	3
GSM2136256	9779	Bai-10	0	0
GSM2136257	9780	Fell2-4	2	2
GSM2136258	9781	Kus2-2	1	1
GSM2136259	9782	Lu3-30	0	0
GSM2136260	9783	Tu-PK-7	0	0
GSM2136261	9784	Erg2-6	3	3
GSM2136262	9785	Ha-HBT1-2	0	0
GSM2136263	9786	Ha-P-13	0	0
GSM2136264	9788	KBG1-14	1	1
GSM2136265	9789	Obh-13	1	1
GSM2136266	9790	Gn2-3	0	0
GSM2136267	9791	Haes-1	4	4
GSM2136268	9792	Lu4-2	1	1
GSM2136269	9793	Ru-N2	27	27
GSM2136270	9794	Tu-B1-2	2	2
GSM2136271	9795	Wank-2	0	0
GSM2136272	9796	Bach2-1	20	20
GSM2136273	9797	Ha-HBT2-10	1	1
GSM2136274	9798	Ha-P2-1	0	0
GSM2136275	9799	Hart-2	1	1
GSM2136276	9800	Ha-S-B	16	16
GSM2136277	9801	Ha-SP-2	0	0
GSM2136278	9802	Kus3-1	0	0
GSM2136279	9803	Muh-2	0	0
GSM2136280	9804	Obe1-15	1	1
GSM2136281	9805	Pfn-10	0	0
GSM2136282	9806	Ru-2	10	10
GSM2136283	9807	Schl-7	0	0
GSM2136284	9808	Tu-B2-3	0	0
GSM2136285	9809	Tu-KB-6	2	2
GSM2136286	9811	Tu-NK-12	0	0
GSM2136287	9812	Tu-W1	1	1
GSM2136288	9813	BI-4	0	0
GSM2136289	9814	Fell1-10	0	0
GSM2136290	9815	Ha-HBT3-11	0	0
GSM2136291	9816	Tu-WH	1	1
GSM2136292	9817	Ace-0	3	3
GSM2136293	9819	Amu-0	0	0
GSM2136294	9821	Aru-0	0	0
GSM2136295	9823	Bae-0	31	31
GSM2136296	9824	Bes-5	5	5
GSM2136297	9825	Boa-0	1	1
GSM2136298	9826	Bor-0	3	3
GSM2136299	9827	Bos-0	12	12
GSM2136300	9828	Bra-0	3	3
GSM2136301	9829	Bur-0	1	1
GSM2136302	9830	Bus-0	0	0
GSM2136303	9831	Cas-0	0	0
GSM2136304	9832	Cat-0	10	10
GSM2136305	9833	Cha-0	41	41
GSM2136306	9834	Cho-0	21	21
GSM2136307	9835	Cir-0	0	0
GSM2136309	9838	Cot-0	0	0
GSM2136310	9839	Coy-0	5	5
GSM2136311	9840	Dar-0	45	45
GSM2136312	9841	Ees-0	1	1
GSM2136313	9843	Elp-0	4	4
GSM2136314	9844	Esn-2	41	41
GSM2136315	9845	Evs-0	79	79
GSM2136316	9846	Ezc-2	0	0
