GSM	sample_title	accession_id	cultivar	tissue	developmental_stage
GSM2136082	IP-Men-2 (9556)	9556	IP-Men-2	leaf	before bolting
GSM2136083	IP-Moa-0 (9557)	9557	IP-Moa-0	leaf	before bolting
GSM2136084	IP-Moc-11 (9558)	9558	IP-Moc-11	leaf	before bolting
GSM2136085	IP-Mon-5 (9559)	9559	IP-Mon-5	leaf	before bolting
GSM2136086	IP-Mot-0 (9560)	9560	IP-Mot-0	leaf	before bolting
GSM2136087	IP-Mun-0 (9561)	9561	IP-Mun-0	leaf	before bolting
GSM2136088	IP-Mur-0 (9562)	9562	IP-Mur-0	leaf	before bolting
GSM2136089	IP-Nav-0 (9563)	9563	IP-Nav-0	leaf	before bolting
GSM2136090	IP-Nog-17 (9564)	9564	IP-Nog-17	leaf	before bolting
GSM2136091	IP-Orb-10 (9565)	9565	IP-Orb-10	leaf	before bolting
GSM2136092	IP-Oso-0 (9566)	9566	IP-Oso-0	leaf	before bolting
GSM2136093	IP-Pal-0 (9567)	9567	IP-Pal-0	leaf	before bolting
GSM2136094	IP-Pan-0 (9568)	9568	IP-Pan-0	leaf	before bolting
GSM2136095	IP-Pds-1 (9569)	9569	IP-Pds-1	leaf	before bolting
GSM2136096	IP-Pob-0 (9570)	9570	IP-Pob-0	leaf	before bolting
GSM2136097	IP-Pue-0 (9572)	9572	IP-Pue-0	leaf	before bolting
GSM2136098	IP-Rds-0 (9573)	9573	IP-Rds-0	leaf	before bolting
GSM2136099	IP-Rel-0 (9574)	9574	IP-Rel-0	leaf	before bolting
GSM2136100	IP-Ren-6 (9575)	9575	IP-Ren-6	leaf	before bolting
GSM2136101	IP-Rev-0 (9576)	9576	IP-Rev-0	leaf	before bolting
GSM2136102	IP-Ria-0 (9577)	9577	IP-Ria-0	leaf	before bolting
GSM2136103	IP-Sac-0 (9578)	9578	IP-Sac-0	leaf	before bolting
GSM2136104	IP-San-10 (9579)	9579	IP-San-10	leaf	before bolting
GSM2136105	IP-Scm-0 (9580)	9580	IP-Scm-0	leaf	before bolting
GSM2136106	IP-Sdv-3 (9581)	9581	IP-Sdv-3	leaf	before bolting
GSM2136107	IP-Ses-0 (9582)	9582	IP-Ses-0	leaf	before bolting
GSM2136108	IP-Sne-0 (9583)	9583	IP-Sne-0	leaf	before bolting
GSM2136109	IP-Stp-0 (9584)	9584	IP-Stp-0	leaf	before bolting
GSM2136110	IP-Svi-0 (9585)	9585	IP-Svi-0	leaf	before bolting
GSM2136111	IP-Tam-0 (9586)	9586	IP-Tam-0	leaf	before bolting
GSM2136112	IP-Tdc-0 (9587)	9587	IP-Tdc-0	leaf	before bolting
GSM2136113	IP-Tol-7 (9588)	9588	IP-Tol-7	leaf	before bolting
GSM2136114	IP-Trs-0 (9590)	9590	IP-Trs-0	leaf	before bolting
GSM2136115	IP-Vad-0 (9591)	9591	IP-Vad-0	leaf	before bolting
GSM2136116	IP-Vae-2 (9592)	9592	IP-Vae-2	leaf	before bolting
GSM2136117	IP-Vaz-0 (9593)	9593	IP-Vaz-0	leaf	before bolting
GSM2136118	IP-Vdm-0 (9594)	9594	IP-Vdm-0	leaf	before bolting
GSM2136119	IP-Vdt-0 (9595)	9595	IP-Vdt-0	leaf	before bolting
GSM2136120	IP-Ver-5 (9596)	9596	IP-Ver-5	leaf	before bolting
GSM2136121	IP-Vig-1 (9597)	9597	IP-Vig-1	leaf	before bolting
GSM2136122	IP-Vim-0 (9598)	9598	IP-Vim-0	leaf	before bolting
GSM2136123	IP-Vin-0 (9599)	9599	IP-Vin-0	leaf	before bolting
GSM2136124	IP-Vis-0 (9600)	9600	IP-Vis-0	leaf	before bolting
GSM2136125	IP-Voz-0 (9601)	9601	IP-Voz-0	leaf	before bolting
GSM2136126	IP-Vpa-1 (9602)	9602	IP-Vpa-1	leaf	before bolting
GSM2136127	Aitba-1 (9606)	9606	Aitba-1	leaf	before bolting
GSM2136128	Panik-1 (9607)	9607	Panik-1	leaf	before bolting
GSM2136129	Karag-2 (9608)	9608	Karag-2	leaf	before bolting
GSM2136130	Adam-1 (9609)	9609	Adam-1	leaf	before bolting
GSM2136131	Lesno-4 (9610)	9610	Lesno-4	leaf	before bolting
GSM2136132	Lesno-1 (9611)	9611	Lesno-1	leaf	before bolting
GSM2136133	Lesno-2 (9612)	9612	Lesno-2	leaf	before bolting
GSM2136134	Balan-1 (9613)	9613	Balan-1	leaf	before bolting
GSM2136135	Parti-1 (9615)	9615	Parti-1	leaf	before bolting
GSM2136136	Krazo-1 (9616)	9616	Krazo-1	leaf	before bolting
GSM2136137	Karag-1 (9617)	9617	Karag-1	leaf	before bolting
GSM2136138	Basta-1 (9619)	9619	Basta-1	leaf	before bolting
GSM2136139	Basta-2 (9620)	9620	Basta-2	leaf	before bolting
GSM2136140	Basta-3 (9621)	9621	Basta-3	leaf	before bolting
GSM2136141	Bijisk-4 (9622)	9622	Bijisk-4	leaf	before bolting
GSM2136142	Chaba-1 (9623)	9623	Chaba-1	leaf	before bolting
GSM2136143	Chaba-2 (9624)	9624	Chaba-2	leaf	before bolting
GSM2136144	Kolyv-3 (9626)	9626	Kolyv-3	leaf	before bolting
GSM2136145	Kolyv-5 (9627)	9627	Kolyv-5	leaf	before bolting
GSM2136146	Kolyv-6 (9628)	9628	Kolyv-6	leaf	before bolting
GSM2136147	K-oze-1 (9629)	9629	K-oze-1	leaf	before bolting
GSM2136148	K-oze-3 (9630)	9630	K-oze-3	leaf	before bolting
GSM2136149	Lebja-1 (9631)	9631	Lebja-1	leaf	before bolting
GSM2136150	Lebja-2 (9632)	9632	Lebja-2	leaf	before bolting
GSM2136151	Lebja-4 (9633)	9633	Lebja-4	leaf	before bolting
GSM2136152	Masl-1 (9634)	9634	Masl-1	leaf	before bolting
GSM2136153	Noveg-1 (9636)	9636	Noveg-1	leaf	before bolting
GSM2136154	Noveg-2 (9637)	9637	Noveg-2	leaf	before bolting
GSM2136155	Noveg-3 (9638)	9638	Noveg-3	leaf	before bolting
GSM2136156	Panke-1 (9639)	9639	Panke-1	leaf	before bolting
GSM2136157	Rakit-1 (9640)	9640	Rakit-1	leaf	before bolting
GSM2136158	Rakit-3 (9642)	9642	Rakit-3	leaf	before bolting
GSM2136159	Zupan-1 (9644)	9644	Zupan-1	leaf	before bolting
GSM2136160	Gradi-1 (9645)	9645	Gradi-1	leaf	before bolting
GSM2136161	Aiell-1 (9646)	9646	Aiell-1	leaf	before bolting
GSM2136162	Basen-1 (9647)	9647	Basen-1	leaf	before bolting
GSM2136163	Bisig-1 (9648)	9648	Bisig-1	leaf	before bolting
GSM2136164	Bivio-1 (9649)	9649	Bivio-1	leaf	before bolting
GSM2136165	Corig-1 (9650)	9650	Corig-1	leaf	before bolting
GSM2136166	Filet-1 (9651)	9651	Filet-1	leaf	before bolting
GSM2136167	Fondi-1 (9652)	9652	Fondi-1	leaf	before bolting
GSM2136168	Giffo-1 (9653)	9653	Giffo-1	leaf	before bolting
GSM2136169	Liri-1 (9654)	9654	Liri-1	leaf	before bolting
GSM2136170	Marce-1 (9655)	9655	Marce-1	leaf	before bolting
GSM2136171	Marti-1 (9656)	9656	Marti-1	leaf	before bolting
GSM2136172	Nicas-1 (9658)	9658	Nicas-1	leaf	before bolting
GSM2136173	Pigna-1 (9659)	9659	Pigna-1	leaf	before bolting
GSM2136174	Sarno-1 (9660)	9660	Sarno-1	leaf	before bolting
GSM2136175	Cimin-1 (9661)	9661	Cimin-1	leaf	before bolting
GSM2136176	Stilo-1 (9662)	9662	Stilo-1	leaf	before bolting
GSM2136177	Teano-1 (9663)	9663	Teano-1	leaf	before bolting
GSM2136178	Mitterberg-1-180 (9665)	9665	Mitterberg-1-180	leaf	before bolting
GSM2136179	Mitterberg-1-182 (9666)	9666	Mitterberg-1-182	leaf	before bolting
GSM2136180	Mitterberg-2-184 (9668)	9668	Mitterberg-2-184	leaf	before bolting
GSM2136181	Mitterberg-2-185 (9669)	9669	Mitterberg-2-185	leaf	before bolting
GSM2136182	Mitterberg-3-189 (9673)	9673	Mitterberg-3-189	leaf	before bolting
GSM2136183	Mitterberg-4-194 (9678)	9678	Mitterberg-4-194	leaf	before bolting
GSM2136184	Castelfed-1-195 (9679)	9679	Castelfed-1-195	leaf	before bolting
GSM2136185	Castelfed-1-196 (9680)	9680	Castelfed-1-196	leaf	before bolting
GSM2136186	Castelfed-1-197 (9681)	9681	Castelfed-1-197	leaf	before bolting
GSM2136187	Castelfed-1-198 (9682)	9682	Castelfed-1-198	leaf	before bolting
GSM2136188	Castelfed-1-199 (9683)	9683	Castelfed-1-199	leaf	before bolting
GSM2136189	Castelfed-2-200 (9684)	9684	Castelfed-2-200	leaf	before bolting
GSM2136190	Castelfed-3-206 (9690)	9690	Castelfed-3-206	leaf	before bolting
GSM2136191	Castelfed-3-209 (9693)	9693	Castelfed-3-209	leaf	before bolting
GSM2136192	Castelfed-4-214 (9696)	9696	Castelfed-4-214	leaf	before bolting
GSM2136193	Dolen-1 (9697)	9697	Dolen-1	leaf	before bolting
GSM2136194	Goced-1 (9698)	9698	Goced-1	leaf	before bolting
GSM2136195	Kolar-1 (9699)	9699	Kolar-1	leaf	before bolting
GSM2136196	Ivano-1 (9701)	9701	Ivano-1	leaf	before bolting
GSM2136197	Kolar-2 (9702)	9702	Kolar-2	leaf	before bolting
GSM2136198	Melni-1 (9703)	9703	Melni-1	leaf	before bolting
GSM2136199	Melni-2 (9704)	9704	Melni-2	leaf	before bolting
GSM2136200	Choto-1 (9705)	9705	Choto-1	leaf	before bolting
GSM2136201	Dospa-1 (9706)	9706	Dospa-1	leaf	before bolting
GSM2136202	Podvi-1 (9707)	9707	Podvi-1	leaf	before bolting
GSM2136203	Kardz-1 (9708)	9708	Kardz-1	leaf	before bolting
GSM2136204	Zerev-1 (9709)	9709	Zerev-1	leaf	before bolting
GSM2136205	Zerev-1 (9710)	9710	Zerev-1	leaf	before bolting
GSM2136206	Dolna-1 (9711)	9711	Dolna-1	leaf	before bolting
GSM2136207	Dolna-1 (9712)	9712	Dolna-1	leaf	before bolting
GSM2136208	Stara-1 (9713)	9713	Stara-1	leaf	before bolting
GSM2136209	Grivo-1 (9714)	9714	Grivo-1	leaf	before bolting
GSM2136210	Kardz-2 (9717)	9717	Kardz-2	leaf	before bolting
GSM2136211	Koren-1 (9719)	9719	Koren-1	leaf	before bolting
GSM2136212	Malak-1 (9720)	9720	Malak-1	leaf	before bolting
GSM2136213	Schip-1 (9721)	9721	Schip-1	leaf	before bolting
GSM2136214	Groch-1 (9722)	9722	Groch-1	leaf	before bolting
GSM2136215	Slavi-2 (9723)	9723	Slavi-2	leaf	before bolting
GSM2136216	Epidauros-1 (9725)	9725	Epidauros-1	leaf	before bolting
GSM2136217	Faneronemi-3 (9726)	9726	Faneronemi-3	leaf	before bolting
GSM2136218	Olympia-2 (9727)	9727	Olympia-2	leaf	before bolting
GSM2136219	Stiav-1 (9728)	9728	Stiav-1	leaf	before bolting
GSM2136220	Stiav-2 (9729)	9729	Stiav-2	leaf	before bolting
GSM2136221	Bela-1 (9730)	9730	Bela-1	leaf	before bolting
GSM2136222	Stiav-3 (9731)	9731	Stiav-3	leaf	before bolting
GSM2136223	Halca-1 (9732)	9732	Halca-1	leaf	before bolting
GSM2136224	Bela-2 (9733)	9733	Bela-2	leaf	before bolting
GSM2136225	Bela-3 (9734)	9734	Bela-3	leaf	before bolting
GSM2136226	Bela-4 (9735)	9735	Bela-4	leaf	before bolting
GSM2136227	Teiu-2 (9736)	9736	Teiu-2	leaf	before bolting
GSM2136228	Ulies-1 (9737)	9737	Ulies-1	leaf	before bolting
GSM2136229	Bran-1 (9738)	9738	Bran-1	leaf	before bolting
GSM2136230	Toc-1 (9739)	9739	Toc-1	leaf	before bolting
GSM2136231	Orast-1 (9741)	9741	Orast-1	leaf	before bolting
GSM2136232	Teiu-1 (9742)	9742	Teiu-1	leaf	before bolting
GSM2136233	Furni-1 (9743)	9743	Furni-1	leaf	before bolting
GSM2136234	Iasi-1 (9744)	9744	Iasi-1	leaf	before bolting
GSM2136235	Sij 1/96 (9745)	9745	Sij 1/96	leaf	before bolting
GSM2136236	Malii-1 (9746)	9746	Malii-1	leaf	before bolting
GSM2136237	Zabar-1 (9747)	9747	Zabar-1	leaf	before bolting
GSM2136238	Zagub-1 (9748)	9748	Zagub-1	leaf	before bolting
GSM2136239	Knjas-1 (9749)	9749	Knjas-1	leaf	before bolting
GSM2136240	Sredn-1 (9754)	9754	Sredn-1	leaf	before bolting
GSM2136241	Vajug-1 (9755)	9755	Vajug-1	leaf	before bolting
GSM2136242	Staro-2 (9756)	9756	Staro-2	leaf	before bolting
GSM2136243	Staro-1 (9757)	9757	Staro-1	leaf	before bolting
GSM2136244	Anz-0 (9759)	9759	Anz-0	leaf	before bolting
GSM2136245	Etna-2 (9762)	9762	Etna-2	leaf	before bolting
GSM2136246	Ru4-16 (9768)	9768	Ru4-16	leaf	before bolting
GSM2136247	HE-1 (9769)	9769	HE-1	leaf	before bolting
GSM2136248	KBG2-13 (9770)	9770	KBG2-13	leaf	before bolting
GSM2136249	Pfn-N2.2-6 (9771)	9771	Pfn-N2.2-6	leaf	before bolting
GSM2136250	Hof-1 (9772)	9772	Hof-1	leaf	before bolting
GSM2136251	Alt-1 (9774)	9774	Alt-1	leaf	before bolting
GSM2136252	Berg-1 (9775)	9775	Berg-1	leaf	before bolting
GSM2136253	Fell3-7 (9776)	9776	Fell3-7	leaf	before bolting
GSM2136254	Gn-1 (9777)	9777	Gn-1	leaf	before bolting
GSM2136255	Bach-7 (9778)	9778	Bach-7	leaf	before bolting
GSM2136256	Bai-10 (9779)	9779	Bai-10	leaf	before bolting
GSM2136257	Fell2-4 (9780)	9780	Fell2-4	leaf	before bolting
GSM2136258	Kus2-2 (9781)	9781	Kus2-2	leaf	before bolting
GSM2136259	Lu3-30 (9782)	9782	Lu3-30	leaf	before bolting
GSM2136260	Tu-PK-7 (9783)	9783	Tu-PK-7	leaf	before bolting
GSM2136261	Erg2-6 (9784)	9784	Erg2-6	leaf	before bolting
GSM2136262	Ha-HBT1-2 (9785)	9785	Ha-HBT1-2	leaf	before bolting
GSM2136263	Ha-P-13 (9786)	9786	Ha-P-13	leaf	before bolting
GSM2136264	KBG1-14 (9788)	9788	KBG1-14	leaf	before bolting
GSM2136265	Obh-13 (9789)	9789	Obh-13	leaf	before bolting
GSM2136266	Gn2-3 (9790)	9790	Gn2-3	leaf	before bolting
GSM2136267	Haes-1 (9791)	9791	Haes-1	leaf	before bolting
GSM2136268	Lu4-2 (9792)	9792	Lu4-2	leaf	before bolting
GSM2136269	Ru-N2 (9793)	9793	Ru-N2	leaf	before bolting
GSM2136270	Tu-B1-2 (9794)	9794	Tu-B1-2	leaf	before bolting
GSM2136271	Wank-2 (9795)	9795	Wank-2	leaf	before bolting
GSM2136272	Bach2-1 (9796)	9796	Bach2-1	leaf	before bolting
GSM2136273	Ha-HBT2-10 (9797)	9797	Ha-HBT2-10	leaf	before bolting
GSM2136274	Ha-P2-1 (9798)	9798	Ha-P2-1	leaf	before bolting
GSM2136275	Hart-2 (9799)	9799	Hart-2	leaf	before bolting
GSM2136276	Ha-S-B (9800)	9800	Ha-S-B	leaf	before bolting
GSM2136277	Ha-SP-2 (9801)	9801	Ha-SP-2	leaf	before bolting
GSM2136278	Kus3-1 (9802)	9802	Kus3-1	leaf	before bolting
GSM2136279	Muh-2 (9803)	9803	Muh-2	leaf	before bolting
GSM2136280	Obe1-15 (9804)	9804	Obe1-15	leaf	before bolting
GSM2136281	Pfn-10 (9805)	9805	Pfn-10	leaf	before bolting
GSM2136282	Ru-2 (9806)	9806	Ru-2	leaf	before bolting
GSM2136283	Schl-7 (9807)	9807	Schl-7	leaf	before bolting
GSM2136284	Tu-B2-3 (9808)	9808	Tu-B2-3	leaf	before bolting
GSM2136285	Tu-KB-6 (9809)	9809	Tu-KB-6	leaf	before bolting
GSM2136286	Tu-NK-12 (9811)	9811	Tu-NK-12	leaf	before bolting
GSM2136287	Tu-W1 (9812)	9812	Tu-W1	leaf	before bolting
GSM2136288	BI-4 (9813)	9813	BI-4	leaf	before bolting
GSM2136289	Fell1-10 (9814)	9814	Fell1-10	leaf	before bolting
GSM2136290	Ha-HBT3-11 (9815)	9815	Ha-HBT3-11	leaf	before bolting
GSM2136291	Tu-WH (9816)	9816	Tu-WH	leaf	before bolting
GSM2136292	Ace-0 (9817)	9817	Ace-0	leaf	before bolting
GSM2136293	Amu-0 (9819)	9819	Amu-0	leaf	before bolting
GSM2136294	Aru-0 (9821)	9821	Aru-0	leaf	before bolting
GSM2136295	Bae-0 (9823)	9823	Bae-0	leaf	before bolting
GSM2136296	Bes-5 (9824)	9824	Bes-5	leaf	before bolting
GSM2136297	Boa-0 (9825)	9825	Boa-0	leaf	before bolting
GSM2136298	Bor-0 (9826)	9826	Bor-0	leaf	before bolting
GSM2136299	Bos-0 (9827)	9827	Bos-0	leaf	before bolting
GSM2136300	Bra-0 (9828)	9828	Bra-0	leaf	before bolting
GSM2136301	Bur-0 (9829)	9829	Bur-0	leaf	before bolting
GSM2136302	Bus-0 (9830)	9830	Bus-0	leaf	before bolting
GSM2136303	Cas-0 (9831)	9831	Cas-0	leaf	before bolting
GSM2136304	Cat-0 (9832)	9832	Cat-0	leaf	before bolting
GSM2136305	Cha-0 (9833)	9833	Cha-0	leaf	before bolting
GSM2136306	Cho-0 (9834)	9834	Cho-0	leaf	before bolting
GSM2136307	Cir-0 (9835)	9835	Cir-0	leaf	before bolting
GSM2136308	Cod-0 (9836)	9836	Cod-0	leaf	before bolting
GSM2136309	Cot-0 (9838)	9838	Cot-0	leaf	before bolting
GSM2136310	Coy-0 (9839)	9839	Coy-0	leaf	before bolting
GSM2136311	Dar-0 (9840)	9840	Dar-0	leaf	before bolting
GSM2136312	Ees-0 (9841)	9841	Ees-0	leaf	before bolting
GSM2136313	Elp-0 (9843)	9843	Elp-0	leaf	before bolting
GSM2136314	Esn-2 (9844)	9844	Esn-2	leaf	before bolting
GSM2136315	Evs-0 (9845)	9845	Evs-0	leaf	before bolting
GSM2136316	Ezc-2 (9846)	9846	Ezc-2	leaf	before bolting
GSM2136317	Glo-1 (9848)	9848	Glo-1	leaf	before bolting
GSM2136318	Gud-3 (9849)	9849	Gud-3	leaf	before bolting
GSM2136319	Hec-0 (9850)	9850	Hec-0	leaf	before bolting
GSM2136320	Hue-3 (9851)	9851	Hue-3	leaf	before bolting
GSM2136321	Ini-0 (9852)	9852	Ini-0	leaf	before bolting
GSM2136322	Lac-0 (9853)	9853	Lac-0	leaf	before bolting
GSM2136323	Laf-1 (9854)	9854	Laf-1	leaf	before bolting
GSM2136324	Lam-0 (9855)	9855	Lam-0	leaf	before bolting
GSM2136325	Lch-0 (9856)	9856	Lch-0	leaf	before bolting
GSM2136326	Loz-0 (9858)	9858	Loz-0	leaf	before bolting
GSM2136327	Lro-0 (9859)	9859	Lro-0	leaf	before bolting
GSM2136328	Lum-0 (9860)	9860	Lum-0	leaf	before bolting
GSM2136329	Mac-0 (9861)	9861	Mac-0	leaf	before bolting
GSM2136330	Mad-0 (9862)	9862	Mad-0	leaf	before bolting
GSM2136331	Mat-0 (9864)	9864	Mat-0	leaf	before bolting
GSM2136332	Mdd-0 (9866)	9866	Mdd-0	leaf	before bolting
GSM2136333	Mie-1 (9867)	9867	Mie-1	leaf	before bolting
GSM2136334	Moe-0 (9868)	9868	Moe-0	leaf	before bolting
GSM2136335	Moz-0 (9870)	9870	Moz-0	leaf	before bolting
GSM2136336	Nac-0 (9871)	9871	Nac-0	leaf	before bolting
GSM2136337	Nag-0 (9872)	9872	Nag-0	leaf	before bolting
GSM2136338	Ndc-0 (9873)	9873	Ndc-0	leaf	before bolting
GSM2136339	Oja-0 (9874)	9874	Oja-0	leaf	before bolting
GSM2136340	Ovi-1 (9875)	9875	Ovi-1	leaf	before bolting
GSM2136341	Pad-0 (9876)	9876	Pad-0	leaf	before bolting
GSM2136342	Pdl-0 (9877)	9877	Pdl-0	leaf	before bolting
GSM2136343	Pee-0 (9878)	9878	Pee-0	leaf	before bolting
GSM2136344	Per-0 (9879)	9879	Per-0	leaf	before bolting
GSM2136345	Pib-1 (9880)	9880	Pib-1	leaf	before bolting
GSM2136346	Pie-0 (9881)	9881	Pie-0	leaf	before bolting
GSM2136347	Pil-0 (9882)	9882	Pil-0	leaf	before bolting
GSM2136348	Piq-0 (9883)	9883	Piq-0	leaf	before bolting
GSM2136349	Prd-0 (9885)	9885	Prd-0	leaf	before bolting
GSM2136350	Pru-0 (9886)	9886	Pru-0	leaf	before bolting
GSM2136351	Pva-1 (9888)	9888	Pva-1	leaf	before bolting
GSM2136352	Rib-1 (9890)	9890	Rib-1	leaf	before bolting
GSM2136353	Sal-0 (9891)	9891	Sal-0	leaf	before bolting
GSM2136354	Sam-0 (9892)	9892	Sam-0	leaf	before bolting
GSM2136355	Sca-0 (9893)	9893	Sca-0	leaf	before bolting
GSM2136356	Sen-0 (9894)	9894	Sen-0	leaf	before bolting
GSM2136357	Sfb-6 (9895)	9895	Sfb-6	leaf	before bolting
GSM2136358	Smt-1 (9897)	9897	Smt-1	leaf	before bolting
GSM2136359	Som-0 (9898)	9898	Som-0	leaf	before bolting
GSM2136360	Tau-0 (9899)	9899	Tau-0	leaf	before bolting
GSM2136361	Tri-0 (9900)	9900	Tri-0	leaf	before bolting
GSM2136362	Urd-1 (9901)	9901	Urd-1	leaf	before bolting
GSM2136363	Usa-0 (9902)	9902	Usa-0	leaf	before bolting
GSM2136364	Val-0 (9903)	9903	Val-0	leaf	before bolting
GSM2136365	Vas-0 (9904)	9904	Vas-0	leaf	before bolting
GSM2136366	Ven-0 (9905)	9905	Ven-0	leaf	before bolting
GSM2136367	Mah-6 (9906)	9906	Mah-6	leaf	before bolting
GSM2136368	ENC-2-1 (9907)	9907	ENC-2-1	leaf	before bolting
GSM2136369	ESP-1-11 (9908)	9908	ESP-1-11	leaf	before bolting
GSM2136370	GEN-8 (9909)	9909	GEN-8	leaf	before bolting
GSM2136371	ARGE-1-15 (9911)	9911	ARGE-1-15	leaf	before bolting
GSM2136372	CON-7 (9913)	9913	CON-7	leaf	before bolting
GSM2136373	MAR-4-16 (9915)	9915	MAR-4-16	leaf	before bolting
GSM2136374	SAUL-24 (9918)	9918	SAUL-24	leaf	before bolting
GSM2136375	DIR-9 (9920)	9920	DIR-9	leaf	before bolting
GSM2136376	FOR-23 (9921)	9921	FOR-23	leaf	before bolting
GSM2136377	PLY-20 (9924)	9924	PLY-20	leaf	before bolting
GSM2136378	ARR-17 (9927)	9927	ARR-17	leaf	before bolting
GSM2136379	BEZ-9 (9928)	9928	BEZ-9	leaf	before bolting
GSM2136380	ISS-20 (9929)	9929	ISS-20	leaf	before bolting
GSM2136381	LEC-25 (9930)	9930	LEC-25	leaf	before bolting
GSM2136382	MOU2-25 (9931)	9931	MOU2-25	leaf	before bolting
GSM2136383	VED-10 (9933)	9933	VED-10	leaf	before bolting
GSM2136384	QUI-8 (9934)	9934	QUI-8	leaf	before bolting
GSM2136385	LCL-16 (9936)	9936	LCL-16	leaf	before bolting
GSM2136386	CATS-6 (9937)	9937	CATS-6	leaf	before bolting
GSM2136387	WAV-8 (9938)	9938	WAV-8	leaf	before bolting
GSM2136388	Aitba-2 (9939)	9939	Aitba-2	leaf	before bolting
GSM2136389	Toufl-1 (9940)	9940	Toufl-1	leaf	before bolting
GSM2136390	Fei-0 (9941)	9941	Fei-0	leaf	before bolting
GSM2136391	Agu-1 (9942)	9942	Agu-1	leaf	before bolting
GSM2136392	Cdm-0 (9943)	9943	Cdm-0	leaf	before bolting
GSM2136393	Don-0 (9944)	9944	Don-0	leaf	before bolting
GSM2136394	Leo-1 (9945)	9945	Leo-1	leaf	before bolting
GSM2136395	Mer-6 (9946)	9946	Mer-6	leaf	before bolting
GSM2136396	Ped-0 (9947)	9947	Ped-0	leaf	before bolting
GSM2136397	Pra-6 (9948)	9948	Pra-6	leaf	before bolting
GSM2136398	Qui-0 (9949)	9949	Qui-0	leaf	before bolting
GSM2136399	Vie-0 (9950)	9950	Vie-0	leaf	before bolting
GSM2136400	Kly-1 (9951)	9951	Kly-1	leaf	before bolting
GSM2136401	Kly-4 (9952)	9952	Kly-4	leaf	before bolting
GSM2136402	Koz-2 (9953)	9953	Koz-2	leaf	before bolting
GSM2136403	Leb-3 (9954)	9954	Leb-3	leaf	before bolting
GSM2136404	Borsk-2 (9957)	9957	Borsk-2	leaf	before bolting
GSM2136405	Shigu-1 (9958)	9958	Shigu-1	leaf	before bolting
GSM2136406	Shigu-2 (9959)	9959	Shigu-2	leaf	before bolting
GSM2136407	Kidr-1 (9960)	9960	Kidr-1	leaf	before bolting
GSM2136408	Krazo-2 (9961)	9961	Krazo-2	leaf	before bolting
GSM2136409	Galdo-1 (9962)	9962	Galdo-1	leaf	before bolting
GSM2136410	Lago-1 (9963)	9963	Lago-1	leaf	before bolting
GSM2136411	Mammo-1 (9964)	9964	Mammo-1	leaf	before bolting
GSM2136412	Mammo-2 (9965)	9965	Mammo-2	leaf	before bolting
GSM2136413	Monte-1 (9966)	9966	Monte-1	leaf	before bolting
GSM2136414	Moran-1 (9967)	9967	Moran-1	leaf	before bolting
GSM2136415	Timpo-1 (9968)	9968	Timpo-1	leaf	before bolting
GSM2136416	Valsi-1 (9969)	9969	Valsi-1	leaf	before bolting
GSM2136417	Ale-Stenar-56-14 (997)	997	Ale-Stenar-56-14	leaf	before bolting
GSM2136418	Altenb-2 (9970)	9970	Altenb-2	leaf	before bolting
GSM2136419	Bozen-1.2 (9972)	9972	Bozen-1.2	leaf	before bolting
GSM2136420	Mitterberg-1-181 (9973)	9973	Mitterberg-1-181	leaf	before bolting
GSM2136421	Rovero-1 (9976)	9976	Rovero-1	leaf	before bolting
GSM2136422	Voeran-1 (9979)	9979	Voeran-1	leaf	before bolting
GSM2136423	Angel-1 (9980)	9980	Angel-1	leaf	before bolting
GSM2136424	Angit-1 (9981)	9981	Angit-1	leaf	before bolting
GSM2136425	Apost-1 (9982)	9982	Apost-1	leaf	before bolting
GSM2136426	Ciste-1 (9983)	9983	Ciste-1	leaf	before bolting
GSM2136427	Ciste-2 (9984)	9984	Ciste-2	leaf	before bolting
GSM2136428	Slavi-1 (9985)	9985	Slavi-1	leaf	before bolting
GSM2136429	Lecho-1 (9987)	9987	Lecho-1	leaf	before bolting
GSM2136430	Bak-2 (9988)	9988	Bak-2	leaf	before bolting
GSM2136431	Bak-7 (9989)	9989	Bak-7	leaf	before bolting
GSM2136432	Lag2.2 (9990)	9990	Lag2.2	leaf	before bolting
GSM2136433	Vash-1 (9991)	9991	Vash-1	leaf	before bolting
GSM2136434	Dog-4 (9992)	9992	Dog-4	leaf	before bolting
GSM2136435	Nemrut-1 (9993)	9993	Nemrut-1	leaf	before bolting
GSM2136436	HKT2.4 (9995)	9995	HKT2.4	leaf	before bolting
GSM2136437	Nie1-2 (9996)	9996	Nie1-2	leaf	before bolting
GSM2136438	Rue3.1-31 (9997)	9997	Rue3.1-31	leaf	before bolting
GSM2136439	Star-8 (9998)	9998	Star-8	leaf	before bolting
GSM2136440	TueSB30-3 (9999)	9999	TueSB30-3	leaf	before bolting
GSM2136441	Col-0 (6909)	6909	Col-0	leaf	before bolting
